1	811
2	336
3	171
4	124
5	82
6	62
7	59
8	53
9	33
10	22
11	36
12	29
13	17
14	20
15	15
16	18
17	12
18	22
19	13
20	18
21	17
22	12
23	11
24	15
25	8
26	10
27	11
28	6
29	7
30	1
31	12
32	5
33	8
34	5
35	11
36	6
37	3
38	6
39	4
40	5
41	4
42	4
43	4
44	4
45	8
46	1
47	2
48	1
49	3
50	2
51	2
52	2
53	2
55	1
56	1
57	4
58	1
59	2
60	4
61	1
62	5
63	2
64	5
65	2
66	1
67	1
68	2
69	3
70	3
72	2
73	1
74	1
76	5
79	2
80	3
83	2
85	2
86	2
87	1
88	1
89	3
90	1
91	1
92	2
93	1
95	1
96	2
97	3
98	2
99	1
100	1
101	2
102	3
103	3
105	2
107	2
108	2
109	1
112	1
113	1
114	1
118	1
119	2
122	1
123	2
126	2
127	1
128	2
130	1
131	1
133	2
136	1
145	1
148	1
149	1
151	1
157	1
158	1
160	1
162	1
168	1
171	1
172	1
175	1
179	1
181	1
182	1
189	1
192	1
197	1
199	1
205	1
208	1
214	2
216	1
218	2
220	2
224	1
225	1
227	1
236	1
238	1
241	1
242	1
248	1
249	1
250	1
253	1
278	2
281	1
283	1
286	1
302	1
305	1
324	1
344	1
345	1
357	1
361	1
399	1
400	1
461	1
470	1
475	1
480	1
491	2
504	1
513	1
516	1
557	1
560	1
572	1
573	1
637	1
687	1
709	1
735	1
795	1
830	1
845	1
876	1
1014	1
1072	1
1098	1
1118	1
1209	1
1463	1
1521	1
1614	1
1696	1
1726	1
2111	1
2224	1
2320	1
2431	1
2705	1
3043	1
3490	1
4548	1
5277	1
