_id,lang,tln,cc,loc,p,tlt,plt,t,cr,acr,pln,flrs,f,uid
918184717475655680,en,81.57507,IN,delhi,1wwwewewert,24.6444,24.6444,"RT @sidgoyal1: Aah the dengue season is back. MCD, Ministry of health and Delhi government learnt no lessons. Idiots would now pas… ",2017-10-11T13:11:10Z,2009-11-16T14:44:08Z,81.57507,2,1e222211,90473440
912392145587265536,en,77.095086,IN,"New Delhi, India",317fcc4b21a604d5,28.6384895,28.6384895,@TajinderBagga Paji please RT it’s urgent!! 7000 platelets due to #dengue https://t.co/f6nWJ62Wf9,2017-09-25T13:33:33Z,2010-01-28T11:20:06Z,77.095086,431,317fcc4b21a604d5,109310085
907999420158840832,en,76.97021,IN,india,1wwwewewert,22.20775,22.20775,"...floods across India, Nepal, Bangladesh...collectively killed hundreds more than Harvey has and Irma...combined. https://t.co/RfsFo6FqG3",2017-09-13T10:38:26Z,2012-11-28T02:53:22Z,76.97021,5028,1e222211,975654422
912539370577551365,en,85.66474,IN,karimnagar,1wwwewewert,25.56984,25.56984,"RT @Raja_4prince: We need O-ve blood grup for 8years boy suffering with dengue in star hospital in karimnagar, please RT

Contact
Vamshi :…",2017-09-25T23:18:34Z,2015-04-07T21:10:19Z,85.66474,204,1e222211,3146232281
915891842515795968,en,76.97021,IN,india,1wwwewewert,22.20775,22.20775,RT @paanchajanyaa: @myogiadityanath @vijayanpinarayi There was a time when travancore was the best in India in all fields. But today t… ,2017-10-05T05:20:06Z,2016-10-21T03:51:02Z,76.97021,24,1e222211,789396064511983616
915359848782487553,en,76.97021,IN,india,1wwwewewert,22.20775,22.20775,RT @ndtv: Resolving the mystery behind #floods in India https://t.co/9jL3JQOVfL https://t.co/MB98tk3Zrg,2017-10-03T18:06:09Z,2016-11-13T11:22:08Z,76.97021,10,1e222211,797844507198914561
909003048910860288,en,85.66474,IN,karimnagar,1wwwewewert,25.56984,25.56984,"RT @PhanindraOnline: Urgently required O- blood for girl suffering with Dengue
Name:manaswi , Karimnagar govt. hospital. Contact: 998972472…",2017-09-16T05:06:29Z,2017-05-26T09:24:49Z,85.66474,65,1e222211,868118227900964864
917637878326292480,en,78,IN,kerala,1wwwewewert,11,11,@ikamalhaasan Appidiye ask him why Kerala is supporting GST/NEET :P https://t.co/c5i690h58T,2017-10-10T00:58:13Z,2017-05-29T07:33:47Z,78,0,1e222211,869177452341350427
907645811256938496,en,85.7941,IN,sudan,1wwwewewert,24.24794,24.24794,Sudan floods: Villages submerged flooding entire villages as death toll rises #flooding #Sudan https://t.co/eIRrY0vL8L,2017-09-12T11:13:19Z,2011-04-02T22:16:05Z,85.7941,2381,1e222211,276322611
908161186562285569,en,85.7941,IN,sudan,1wwwewewert,24.24794,24.24794,South Sudan: Floods displace hundreds in war-torn in South Sudan https://t.co/KErBDvF5Et https://t.co/1CmX45sOjY,2017-09-13T21:21:14Z,2017-07-12T17:59:20Z,85.7941,8,1e222211,885279942963064832
912190602426466304,en,80.26483,IN,chennai,1wwwewewert,13.08891,13.08891,"RT @KaruppusamyPT: In top private medical institutes in Chennai, no beds available in pediatric ICUs. Hospitals burdened with Dengue patien…",2017-09-25T00:12:41Z,2014-06-14T00:34:47Z,80.26483,298,1e222211,2566537680
918153276020883457,en,84.11204,IN,dhubri,1wwwewewert,22.91772,22.91772,#ModiMinistry Assam floods aftermath: Hapless farm families in Dhubri take to beedi rolling for survival https://t.co/CYsSxmXMQU,2017-10-11T11:06:14Z,2014-04-03T02:41:12Z,84.11204,4507,1e222211,2425268995
909739142329786368,en,86.17994,IN,kashmir,1wwwewewert,24.86916,24.86916,"RT @third_pole: Changes in land use is adding to the silt load in Kashmir’s water bodies, increasing the likelihood of annual floods https:…",2017-09-18T05:51:28Z,2017-08-11T08:46:35Z,86.17994,148,1e222211,896012474645856256
908224953266339843,en,76.97021,IN,india,1wwwewewert,22.20775,22.20775,"RT @mpparimal: #FuelDemand in #India fell 6.1% in the month of August this year, the most in 14 yrs; as floods hindered consumptio… ",2017-09-14T01:34:37Z,2009-02-17T06:51:21Z,76.97021,1590,1e222211,21084137
915497145335083008,en,81.57507,IN,delhi,1wwwewewert,24.6444,24.6444,RT @TOIDelhi: 342 fresh cases of dengue reported in a week in Delhi https://t.co/wTq5YnK0LS,2017-10-04T03:11:43Z,2010-04-03T04:46:56Z,81.57507,344,1e222211,129154018
910144815085572097,en,71.5,IN,gujarat,1wwwewewert,22.85,22.85,"RT @Khalsa_Aid: #GujaratFloods 
When the floods devastated Gujarat in 2016 &amp; 2017 our Khalsa Aid India based volunteers were there… ",2017-09-19T08:43:28Z,2014-02-25T10:28:04Z,71.5,738,1e222211,2365156169
910466731604312064,en,93,IN,assam,1wwwewewert,26,26,"RT @seriousfunnyguy: Friends, Post floods in Assam 1000 Mosquito Nets each costing 200/- are needed.
Can you sponsor a few? Pls donate o… ",2017-09-20T06:02:39Z,2009-10-15T13:02:58Z,93,88,1e222211,82680850
912296093970337792,en,78,IN,kerala,1wwwewewert,11,11,"RT @KiranKS: Kamal Haasan attacks Tamil Nadu govt over Dengue..  
He forgot Dengue when he went to Kerala that had 15612 Dengue cases as of…",2017-09-25T07:11:53Z,2010-03-29T08:37:56Z,78,494,1e222211,127529426
917612045973032960,en,76.37754,IN,radi,1wwwewewert,18.64007,18.64007,Now playing #JimmieVaughan - Dengue Woman Blues on #RadiOmaha,2017-10-09T23:15:34Z,2014-02-11T06:15:20Z,76.37754,778,1e222211,2338242139
907873994052947968,en,81.57507,IN,delhi,1wwwewewert,24.6444,24.6444,RT @BeingFarhad: Narrowing floodplains caused by illegal construction is threatening #Delhi - leaving the city vulnerable to floods… …,2017-09-13T02:20:02Z,2015-11-09T23:39:20Z,81.57507,2078,1e222211,4186843694
913397223609782277,en,83.52624,IN,jammu,1wwwewewert,18.23086,18.23086,"RT @MaizaHameed: federal hospitals have received 25 dengue patient from other areas; 9 from K-P, 4  from Azad Jammu &amp; Kashmir and 12 from P…",2017-09-28T08:07:22Z,2009-10-01T08:26:31Z,83.52624,753,1e222211,78909052
914834150690930690,en,93,IN,assam,1wwwewewert,26,26,"#Visuals from flood affected district of Goalpara in Assam; 78,275 people are affected by floods in five districts… https://t.co/vu6WtT1hEA",2017-10-02T07:17:12Z,2010-03-11T14:08:11Z,93,794,1e222211,122154024
914113236634673152,en,80.26483,IN,chennai,1wwwewewert,13.08891,13.08891,RT @dhanyarajendran: Urgent. Verified.  Dengue patient in Chennai needs O+ blood at JV hospital T nagar. #Chennai #bloodbank #dengue call c…,2017-09-30T07:32:33Z,2014-04-21T23:44:09Z,80.26483,24,1e222211,2457633090
910515353142177792,en,72.874244,IN,"Mumbai, India",7929cea6bd5b32bd,19.17414,19.17414,Reason of floods in Mumbai!! https://t.co/I0i91aDmmI,2017-09-20T09:15:51Z,2009-07-02T01:36:22Z,72.874244,584,7929cea6bd5b32bd,52997872
916320005570158592,en,76.97021,IN,india,1wwwewewert,22.20775,22.20775,RT @CW_dynastycrook: Kerala now accounts for 45% of Indias GDP (Gross Dengue Production). Huge Congratulations to CM Pinarayi Vijayan!… ,2017-10-06T09:41:28Z,2014-04-06T08:13:53Z,76.97021,54,1e222211,2430489079
916298450702024706,en,78,IN,kerala,1wwwewewert,11,11,RT @CW_dynastycrook: Kerala now accounts for 45% of Indias GDP (Gross Dengue Production). Huge Congratulations to CM Pinarayi Vijayan!… ,2017-10-06T08:15:49Z,2011-11-21T05:02:26Z,78,316,1e222211,417763872
909823297675599872,en,76.97021,IN,india,1wwwewewert,22.20775,22.20775,RT @Khalsa_Aid: #AssamFloods Our Khalsa Aid India volunteers reached many people of Assam to provide aid after the floods. https://t.co/KDi…,2017-09-18T11:25:52Z,2013-01-22T07:48:32Z,76.97021,432,1e222211,1111533103
907564424906596353,en,75.06272,IN,manila,1wwwewewert,12.67467,12.67467,"RT @AJEnglish: Manila floods as tropical depression slams Philippines
- At least 2 people have been killed
- 13 people missing… ",2017-09-12T05:49:55Z,2013-06-27T06:05:09Z,75.06272,628,1e222211,1550394330
910534414358126592,en,76.97021,IN,india,1wwwewewert,22.20775,22.20775,India – Green Mini-Grids Support Disaster Relief During Bihar Floods https://t.co/v7cVCAcJOE,2017-09-20T10:31:35Z,2013-06-21T06:53:52Z,76.97021,1041,1e222211,1536412436
909787941819514882,en,85.19953,IN,asia,1wwwewewert,25.38954,25.38954,"RT @severeweatherEU: *World Weather* Major flash floods comes in Laos, Asia. Reported today, more details when available. Report: Alerta… ",2017-09-18T09:05:23Z,2009-04-16T07:28:45Z,85.19953,1049,1e222211,31765938
914321207498907648,en,79.85894,IN,san,1wwwewewert,29.56461,29.56461,"RT @lacasadesonia: @kurteichenwald @Docsociology4 @POTUS Mayor Navarro of Loiza,near San Juan, said residents showing signs of Dengue… ",2017-09-30T21:18:57Z,2009-11-28T14:43:37Z,79.85894,6838,1e222211,93251080
