_id,lang,tln,cc,loc,p,tlt,plt,t,cr,acr,pln,flrs,f,uid
916685247495987200,en,,,,,,,RT @FarhanKVirk: #DengueLeague First they paid a family to carry dengue mosquitoes to a hospital https://t.co/2XB9fIyhtJ,2017-10-07T09:52:48Z,2014-04-27T10:48:00Z,,2439,,2466314120
910799079298486272,en,,,,,,,RT @unisdr: #Niger #floods  have left 56 dead &amp;  many  thousands homeless #switch2sendai #iddr2017 https://t.co/n3KLOMErgM,2017-09-21T04:03:16Z,2012-11-06T10:17:55Z,,2749,,929989772
909848468495069184,en,,,,,,,AP Exclusive: Evidence of spills during floods at toxic site https://t.co/aqCg01Vy6g,2017-09-18T13:05:53Z,2016-01-24T08:47:04Z,,592,,4842169762
918331289924702208,en,,,,,,,RT @AFP: #BREAKING At least 37 people die and another 40 are missing after floods and landslides ravage northern and central Vietnam,2017-10-11T22:53:35Z,2013-01-26T16:10:56Z,,1486,,1123210104
907722711455096832,en,,,,,,,"RT @JamesMelville: Imagine being sceptical about floods caused by climate change, but believing that Noahs ark saved the animals from a fl…",2017-09-12T16:18:53Z,2009-02-04T01:47:03Z,,14865,,20032587
916398825128030209,en,,,,,,,Tokyo Is Preparing for Floods ‘Beyond Anything We’ve Seen’ https://t.co/94BaaAupNP,2017-10-06T14:54:40Z,2017-07-10T12:30:15Z,,25,,884472348577079297
914461354320437254,en,,,,,,,"RT @kurteichenwald: Dengue fever, Zika and conjunctivitis spreading in Puerto Rico. But plz, republicans, keep telling everyone its their…",2017-10-01T06:35:51Z,2015-05-11T13:27:10Z,,62,,3246686434
908416104372035584,en,,,,,,,"Irma effects are far from over in the Tampa area: no electricity, no internet, and floods with mandatory evacuation… https://t.co/W2Cg0pHrAf",2017-09-14T14:14:11Z,2009-06-21T12:56:21Z,,994,,49385922
914430435844808705,en,,,,,,,RT @kurteichenwald: 9 million children lose health insurance. Dengue fever &amp; Zika in Puerto Rico. Childish taunts at a nuclear armed madman…,2017-10-01T04:32:59Z,2011-04-25T10:00:07Z,,139,,287729407
909313106584539136,en,,,,,,,"RT @thebetterindia: #EngineersDay Did You Know? Sir M Visvesvaraya Tamed Hyderabads Floods for Decades?
https://t.co/ktH6bFVooa https://t.…",2017-09-17T01:38:33Z,2010-01-04T04:24:02Z,,204,,101716322
917689773136920577,en,,,,,,,"RT @hemanthkumarbhk: Friends plz plz Help me Need A+ Blood Emergency now at #Chennai dengue fever attacked 
contact:9666555895 pls ask your…",2017-10-10T04:24:26Z,2011-01-15T06:51:35Z,,253,,238543644
916239704303038465,en,,,,,,,"Baastona floods!!
Drive carefully! https://t.co/NEE0TpA7DJ",2017-10-06T04:22:23Z,2015-10-16T05:28:39Z,,5194,,3971566162
